Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
TRENT,4634.55,,4673.0,4555.0,2024-05,4600.0,752254,2024-05-17_05-30-00.yaml,extracted_stock_data,,0.0082451350439995,2.222495152696053
TRENT,4634.55,,4673.0,4555.0,2024-05,4600.0,752254,2024-05-17_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.2022870932037435
TRENT,4643.0,,4674.9,4609.35,2024-05,4674.9,53867,2024-05-18_05-30-00.yaml,extracted_stock_data,,0.0018232622368945,2.138358682238927
TRENT,4643.0,,4674.9,4609.35,2024-05,4674.9,53867,2024-05-18_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.041745368757384
TRENT,4667.3,,4727.95,4623.65,2024-05,4690.0,668195,2024-05-21_05-30-00.yaml,extracted_stock_data,,0.005233685117381,1.9528501108329863
TRENT,4667.3,,4727.95,4623.65,2024-05,4690.0,668195,2024-05-21_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.8228522075188165
TRENT,4646.95,,4713.85,4545.0,2024-05,4680.3,742788,2024-05-22_05-30-00.yaml,extracted_stock_data,,-0.0043601225547962,1.7935897569465409
TRENT,4646.95,,4713.85,4545.0,2024-05,4680.3,742788,2024-05-22_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.7462859743654624
TRENT,4698.55,,4712.0,4608.05,2024-05,4653.0,459499,2024-05-23_05-30-00.yaml,extracted_stock_data,,0.0111040575000807,1.8037131774463528
TRENT,4698.55,,4712.0,4608.05,2024-05,4653.0,459499,2024-05-23_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,1.858483162258032
TRENT,4715.4,,4777.9,4654.1,2024-05,4708.0,549566,2024-05-24_05-30-00.yaml,extracted_stock_data,,0.0035862127677686,1.9570100798104169
TRENT,4715.4,,4777.9,4654.1,2024-05,4708.0,549566,2024-05-24_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.0403926062241458
